Id,Id2,Geography,totpop
1400000US26049000100,26049000100,"Census Tract 1, Genesee County, Michigan",2799
1400000US26049000200,26049000200,"Census Tract 2, Genesee County, Michigan",1863
1400000US26049000300,26049000300,"Census Tract 3, Genesee County, Michigan",2830
1400000US26049000400,26049000400,"Census Tract 4, Genesee County, Michigan",1855
1400000US26049000500,26049000500,"Census Tract 5, Genesee County, Michigan",2108
1400000US26049000600,26049000600,"Census Tract 6, Genesee County, Michigan",2691
1400000US26049000700,26049000700,"Census Tract 7, Genesee County, Michigan",2997
1400000US26049000800,26049000800,"Census Tract 8, Genesee County, Michigan",1316
1400000US26049000900,26049000900,"Census Tract 9, Genesee County, Michigan",3885
1400000US26049001000,26049001000,"Census Tract 10, Genesee County, Michigan",2583
1400000US26049001100,26049001100,"Census Tract 11, Genesee County, Michigan",2512
1400000US26049001200,26049001200,"Census Tract 12, Genesee County, Michigan",3350
1400000US26049001300,26049001300,"Census Tract 13, Genesee County, Michigan",3126
1400000US26049001400,26049001400,"Census Tract 14, Genesee County, Michigan",1388
1400000US26049001500,26049001500,"Census Tract 15, Genesee County, Michigan",1566
1400000US26049001600,26049001600,"Census Tract 16, Genesee County, Michigan",4670
1400000US26049001700,26049001700,"Census Tract 17, Genesee County, Michigan",1836
1400000US26049001800,26049001800,"Census Tract 18, Genesee County, Michigan",1913
1400000US26049001900,26049001900,"Census Tract 19, Genesee County, Michigan",2524
1400000US26049002000,26049002000,"Census Tract 20, Genesee County, Michigan",1279
1400000US26049002200,26049002200,"Census Tract 22, Genesee County, Michigan",2926
1400000US26049002300,26049002300,"Census Tract 23, Genesee County, Michigan",2323
1400000US26049002400,26049002400,"Census Tract 24, Genesee County, Michigan",2640
1400000US26049002600,26049002600,"Census Tract 26, Genesee County, Michigan",3189
1400000US26049002700,26049002700,"Census Tract 27, Genesee County, Michigan",3599
1400000US26049002800,26049002800,"Census Tract 28, Genesee County, Michigan",2784
1400000US26049002900,26049002900,"Census Tract 29, Genesee County, Michigan",2034
1400000US26049003000,26049003000,"Census Tract 30, Genesee County, Michigan",3410
1400000US26049003100,26049003100,"Census Tract 31, Genesee County, Michigan",2305
1400000US26049003200,26049003200,"Census Tract 32, Genesee County, Michigan",2476
1400000US26049003300,26049003300,"Census Tract 33, Genesee County, Michigan",1820
1400000US26049003400,26049003400,"Census Tract 34, Genesee County, Michigan",2152
1400000US26049003500,26049003500,"Census Tract 35, Genesee County, Michigan",2938
1400000US26049003600,26049003600,"Census Tract 36, Genesee County, Michigan",4766
1400000US26049003700,26049003700,"Census Tract 37, Genesee County, Michigan",2651
